,a,b,c,d,cluster
0,78.39754604367337,40.18972674113279,55.911517278273664,35.83152551010147,2
1,103.71938582113913,48.53410610420238,84.04250618421909,1.6669667271869941,1
2,90.50228999518241,73.68281226045575,77.36686060548493,93.3125873411777,3
3,68.5741044787492,55.52509599519209,48.32559703730627,42.05466714243624,2
4,106.55078340611651,66.64803586172042,65.39801235234114,61.82162995712239,3
5,0.34119542689375404,45.322776664849,97.80161700453188,29.04482906511601,0
6,68.53063539590694,58.66706005110653,54.59390862289828,33.838758752154604,2
7,95.4654328090959,61.16438873194403,67.8023697340192,59.93360441449889,3
8,108.39671833240789,63.7413883916579,88.58647602909102,10.989128597025397,1
9,-0.3719171600931519,38.36238156218283,101.86050375613439,30.176462742351756,0
10,100.39640729603869,59.24296996504766,89.77183684304927,0.44398518399893794,1
11,101.49128692061223,64.22373081403478,86.73699819875239,-5.466429662403126,1
12,104.47729069159033,60.74252895206193,81.71785448377368,0.5647117695294017,1
13,90.83397519750868,58.637949528168626,91.31246880296321,-2.2746800417425406,1
14,100.53851371887863,68.7604611455688,79.0619427083251,67.51472849884792,3
15,99.02408561245055,63.91193238325905,92.08046274631371,-4.6721639917020905,1
16,11.56146178403419,52.690859966716836,97.55676357741557,21.89069670897127,0
17,93.69318154358926,68.484401866819,81.35905286333652,7.409886513788958,1
18,92.65992551205305,67.90879296146227,88.16179787109037,-2.7595053629895676,1
19,12.0857019104205,49.05928307708887,95.13031068490815,28.724365618330182,0
20,-0.8041475885609839,47.15047774732737,104.48963775502932,32.88991073277632,0
21,9.066322849875625,51.67959078204311,103.31369848270555,24.278595714128286,0
22,96.09628324469597,53.7892586969479,90.23918837206604,2.098374755663895,1
23,74.62616161651259,34.8299612616726,59.69887466581455,31.22215764729461,2
24,12.440807964992484,53.35689772118551,94.71978491857115,31.184371201527952,0
25,68.15328437672346,37.71200378459277,70.61717416311768,34.00000879018511,2
26,109.05585593599126,45.66220302162205,81.80181293700903,63.67946366887611,3
27,104.34731447290488,73.05529553506457,96.12051478515617,2.9103692920031525,1
28,84.69577704974458,58.516306723358625,103.69508446791521,-7.320691236366196,1
29,62.85823299442477,48.41422331416547,47.40501036440805,42.647336632258494,2
30,89.53189250820715,82.78818421333105,80.17678773900303,64.65594483081756,3
31,98.42860943763456,71.36121695218696,89.89256440201706,3.7787436402538535,1
32,72.93641841989667,58.425801220298034,53.21649429211463,48.433531145834564,2
33,76.9229546502658,71.13026527248708,63.88349167684134,44.884641827325865,2
34,97.01610289720028,52.918561227451576,89.03559170044008,6.835874691878727,1
35,69.64590581701059,40.640510251968614,66.57813832700415,49.059987125113935,2
36,102.9949383285668,60.27645175127124,80.7266409248737,66.25601858304886,3
37,-0.24420244837267946,47.06936155769529,95.85557067370308,25.47697879829795,0
38,95.88341595565501,61.04268525113228,60.192554107696395,72.75413568553742,3
39,78.67234525380951,57.996554285493055,65.80498225874878,31.49695668078865,2
40,1.0045358284526673,54.75962347908176,99.93046761161753,30.056125173465173,0
41,88.59399000281086,63.695084788497674,86.55893396954836,66.88516363906234,3
42,93.96448895797971,60.035545646398816,87.18186873825108,-14.927617533066462,1
43,5.0892286084571525,53.9421433472381,86.01332409636173,28.0173577794294,0
44,60.31229728755224,41.0725663664703,39.44573508404209,26.965364756114447,2
45,1.0002994754555892,53.50816641660399,99.50941712342491,34.58929850081327,0
46,96.97576818485514,66.20353626709898,85.06878936101711,66.16399691819758,3
47,103.86015646106902,67.16066220203616,71.01916145922384,83.02475075089495,3
48,89.13742181391596,64.81094314593331,91.0122891569985,5.789213479869008,1
49,59.560285350992515,67.30784897781717,60.400187894052884,33.859274170822715,2
50,66.77099242712337,37.66550563631655,55.95256606979258,54.91466613756416,2
51,71.7579591499964,60.93787514844916,65.09073541107007,27.505242373902867,2
52,-3.1491746387499218,55.54935566309877,96.74682579059026,29.183916188865993,0
53,82.34119852686877,68.46848675166228,53.234940905988694,34.61890128084039,2
54,87.62218582607028,48.05459987311947,69.87562602937933,44.15011734126136,2
55,0.8308566617400783,40.7369901743406,96.31843468233642,26.998649053140863,0
56,100.98839856638074,70.28110492014025,74.1481145666258,1.4804408417334016,1
57,100.16190746428974,66.20091222790381,86.30780784221903,-2.572685182642631,1
58,94.1889767712217,76.43538044869685,93.61220358828123,5.658197750117141,1
59,88.30618892399102,72.64486724879148,70.7478707583308,43.03540398385036,2
60,65.75310523609555,57.548104680235156,54.12997244247332,29.90483330130224,2
61,69.6557572872213,40.020010133887865,54.317433795538555,36.24095228690173,2
62,78.69159259168889,50.798685931996026,79.52502432671353,43.509776224463835,2
63,78.24482632921382,57.40484858548406,76.63377928491944,52.25905516756631,2
64,1.8145103333595107,44.09088987357562,95.30672045092342,34.996270737736914,0
65,103.7685577153055,60.7276439881491,66.38079749027334,81.59923578316841,3
66,1.9567693864286035,53.786368088774644,94.23483071778766,26.442783636245558,0
67,98.34253216998476,55.47235350270988,86.32667966192085,69.93023719417681,3
68,-7.252186712348208,50.2362713142244,94.3017898219632,21.188221492827886,0
69,60.982420895033265,55.85008011464935,48.0290155205539,33.033209045403126,2
70,101.34227796393434,56.28309547854028,81.74581126902886,-6.233643385742024,1
